x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
9,10,12,12,13,14,10,4,2,2
9,10,9,10,12,11,9,8,9,14
9,3,5,1,5,3,6,7,7,7
9,8,13,11,13,11,8,9,10,13
9,12,9,10,12,10,8,10,11,9
9,11,9,8,9,11,13,19,20,10
9,9,17,22,30,35,33,27,35,27
9,9,8,9,11,12,11,8,10,2
9,11,10,8,9,10,12,6,4,2
9,11,2,3,4,2,3,1,3,5
9,12,10,2,2,5,2,3,2,3
9,11,5,7,7,7,2,2,4,6
9,8,9,2,3,4,6,5,2,1
9,11,20,18,16,20,18,26,27,28
9,9,11,9,11,14,7,6,7,7
9,12,14,12,10,9,11,14,14,14
9,10,12,11,10,12,13,12,11,13
9,18,16,19,25,22,31,29,31,29
9,9,8,9,9,8,10,9,11,13
9,9,9,8,10,12,14,14,12,13
9,4,2,1,4,2,3,4,5,7
9,14,20,18,16,17,23,27,35,35
9,12,14,14,12,14,14,11,9,4
9,11,13,14,14,9,13,10,8,9
9,10,11,14,14,14,14,14,6,5
9,3,2,1,7,5,4,3,1,3
9,12,14,14,14,6,7,6,5,7
9,12,10,6,4,7,6,5,3,1
9,12,11,14,14,14,14,12,10,8
9,10,12,13,2,3,6,4,6,4
9,11,14,14,12,6,3,2,6,7
9,10,13,12,3,5,7,7,7,2
9,8,11,8,9,18,27,24,22,24
9,8,9,11,13,14,14,14,9,12
9,12,21,19,20,19,18,20,18,19
9,10,2,1,3,5,3,2,4,2
9,11,13,12,14,11,10,5,3,5
9,8,11,19,21,20,10,12,21,21
9,12,14,7,6,7,7,5,7,3
9,11,9,12,13,4,2,5,4,6
9,11,21,15,13,14,11,12,14,20
9,10,9,8,11,10,8,13,11,13
9,12,9,10,9,9,10,9,10,9
9,8,11,9,11,10,9,11,10,11
9,11,13,14,9,10,9,9,11,13
9,14,9,11,10,9,8,14,14,14
9,10,8,9,4,3,2,4,1,3
9,15,9,8,3,6,3,6,4,2
9,3,3,2,4,2,6,4,2,1
9,10,2,2,4,3,5,3,3,1
9,8,10,11,14,14,14,10,8,10
9,12,10,9,10,6,4,3,4,3
9,10,10,12,2,3,7,7,6,7
